{'str': '4f400b68ac3a46bc4692', 'num': 0.08353987387390249}
{'str': 'c8132492cdef6660c180', 'num': 0.22468265048854286}
{'str': '690ad841f8f01e9736cc', 'num': 0.4927542096503833}
{'str': '24b35e839b99b2972210', 'num': 0.737764734104418}
{'str': '6aa953ea82454e78a2d9', 'num': 0.2053578561599947}
{'str': '2d461e5654235adeb613', 'num': 0.6946263076155471}
{'str': 'e3a3f2ea01ba3e0692e1', 'num': 0.4513072344196488}
{'str': '7ccb25815d5081419534', 'num': 0.6616425930907025}
{'str': '8b5027106465e615d69d', 'num': 0.7905365242112203}
{'str': '3a0d8d3bc452b5c24c4c', 'num': 0.44316760657416165}
{'str': '0a1f5cf9be4c0f24ee69', 'num': 0.7077671957692634}
{'str': '54d2a1ce75ade6be16ec', 'num': 0.4161664303285332}
{'str': '0ec255638fa4321dc121', 'num': 0.7365646006881433}
{'str': 'a0bf3258a26cc9b2a8d4', 'num': 0.8632836591959016}
{'str': '6429f7e0731d7c8ac3bb', 'num': 0.3128339722847253}
{'str': 'c928b63c1551ac569c88', 'num': 0.23851493342022057}
{'str': '755bdbcb08bbd8aa8136', 'num': 0.16342634188089167}
{'str': '9333f268739f46911ea5', 'num': 0.6843179027811451}
{'str': '5f1244c9287598e12596', 'num': 0.18523813742293238}
{'str': 'c0e536952ea400dc6dc2', 'num': 0.12845519598482757}
{'str': '5354a225a35f79dfd730', 'num': 0.40498445448936604}
{'str': '02a0a98fafeef651fcb0', 'num': 0.19052428002503796}
{'str': '79ada7d15f772861a875', 'num': 0.022081247663967463}
{'str': '16e58503d518a1d65270', 'num': 0.02426609679482894}
{'str': '60a9e07cc94429e890e0', 'num': 0.9476337420199896}
{'str': '2f6468e36ae50c37ae7a', 'num': 0.7829506687784545}
{'str': '9b8eed7634cec28bf35f', 'num': 0.6637309507155492}
{'str': 'f1dfea9b34f7efbab903', 'num': 0.24118970655737448}
{'str': 'b14a063825ddcbb76a40', 'num': 0.1265876964258359}
{'str': '2b744844a3a791e0bd22', 'num': 0.0579088216457897}
{'str': '51affe3d31a24983d1ea', 'num': 0.32855652262019}
{'str': 'fbcfbf4d401e0759a699', 'num': 0.036872623789462766}
{'str': '69bd4b3aaa6028cbda27', 'num': 0.48895920905510604}
{'str': '9361eb5270bdce9288d6', 'num': 0.8081560987947132}
{'str': '5f4d1c5c8f83b3fad657', 'num': 0.6055295918212772}
{'str': '5150144d1942f365878f', 'num': 0.050189516649058685}
{'str': '8fe9ce3efa48742df93e', 'num': 0.23093329168460452}
{'str': '336ca184591ed04115eb', 'num': 0.981103180619812}
{'str': 'ec8cac9184335bed4e04', 'num': 0.39132038481306597}
{'str': '8868773dbeb999543c3e', 'num': 0.8081438192826937}
{'str': 'eca47b8e3aeaccacfe01', 'num': 0.1853374531169677}
{'str': '84fd13543b656adac292', 'num': 0.012923748394585988}
{'str': '5c8a2090e54bcce95257', 'num': 0.2397748598217786}
{'str': 'ff088d327111c1785782', 'num': 0.31839199407245333}
{'str': '6140e1a0c5ea6a2db739', 'num': 0.5586894997040842}
{'str': '4cadfc6d8c63f6e7272a', 'num': 0.20651442390088437}
{'str': '48a7145cb39777d998d4', 'num': 0.6561847204533038}
{'str': '2aec385dfc6057e57870', 'num': 0.9198794005503143}
{'str': '93fd2668b94b24428963', 'num': 0.7560556210576502}
{'str': '068779a50af92b120798', 'num': 0.7707366263176925}
{'str': '4796cdebea45cfc7bae5', 'num': 0.6777198123434613}
{'str': '89e011545986ec572092', 'num': 0.28460957834918854}
{'str': '5e8c3fe54792be30e052', 'num': 0.9113369037391402}
{'str': 'bbd20ed7d177041649bb', 'num': 0.025599555474194347}
{'str': '6aecbb92510adef28d9d', 'num': 0.7552450036007284}
{'str': '731636ab47ea3f5d852c', 'num': 0.7182016295134891}
{'str': '9a2a98787cba15713974', 'num': 0.677422241977899}
{'str': '3f852394062d626c525c', 'num': 0.28539962490178483}
{'str': 'b6ccc350986bfd22bdd3', 'num': 0.44349116289549717}
{'str': '74705068cf80f02dfd85', 'num': 0.2599760304242972}
{'str': 'e5ccd3513914d4b178af', 'num': 0.3669365255095749}
{'str': '72d60f86f6f88be217db', 'num': 0.20321959787636645}
{'str': 'd5842f034b03b8f105dc', 'num': 0.8605105874934266}
{'str': 'b4ca5334aa26982c2ef1', 'num': 0.6852169109010167}
{'str': 'f7d67be6e73ac7306df0', 'num': 0.24391361031370362}
{'str': '5f7f85f2d67ce34fd11c', 'num': 0.5190660847203026}
{'str': 'b9eff816b34cb7a07a22', 'num': 0.3324116022402761}
{'str': '4669d0bb0de21f8621a7', 'num': 0.6215722671051686}
{'str': '28c74b2ceeb449865ba6', 'num': 0.5571407122461592}
{'str': 'ee0e7a7e71a96c8fbfa3', 'num': 0.6000372121962567}
{'str': '831fff1373b435cdbcda', 'num': 0.9218790427580804}
{'str': '78bed1294289614d1977', 'num': 0.08014211925363846}
{'str': 'd773d95d2e516c94db2d', 'num': 0.3353604119727456}
{'str': 'e5a860ea60afac216e86', 'num': 0.4731439664469601}
{'str': 'e1117febed1913809482', 'num': 0.6873191729636984}
{'str': '2e0542df21e4166b4e26', 'num': 0.7129201323129827}
{'str': 'd66e6dc1ec8ccee946e2', 'num': 0.48240654121026927}
{'str': 'a9d3f5ca61a8d9af92e8', 'num': 0.8210867329716739}
{'str': 'c89eafe12952de559c87', 'num': 0.01207414199702106}
{'str': '1e2e82ac9461a23a71b9', 'num': 0.5148265641954745}
{'str': 'b4a0f76b92dfc8835330', 'num': 0.3721192348573765}
{'str': '9b3ab3447a87648ceb13', 'num': 0.16195721327168167}
{'str': '4c0030d1d6004be8efa4', 'num': 0.08546679267451918}
{'str': 'e18306f9471dd87d16a9', 'num': 0.9668391397803152}
{'str': '8d669352af791fb67be6', 'num': 0.9855390524355462}
{'str': '3de5262f5c78a7d42f47', 'num': 0.2882001718615964}
{'str': 'f9ac286df1178ba98ce5', 'num': 0.6347981286022469}
{'str': '422f7d7fee9992ad83aa', 'num': 0.5087529202272509}
{'str': '6a8fe12920cd47b3957e', 'num': 0.840115017095629}
{'str': 'c1fe99ddc7b02ff04873', 'num': 0.3629542775471203}
{'str': '718c06ac405165080a2e', 'num': 0.41199356901078166}
{'str': 'cb3632e31dcf09c3ed0f', 'num': 0.48612977776634125}
{'str': 'aa4bc414560be3950824', 'num': 0.9199770114618359}
{'str': 'e3fa88df7142b29e8287', 'num': 0.13915271453545253}
{'str': 'eca82e4a39c4e8e1d01e', 'num': 0.8943707765387223}
{'str': '1b761f7148cfe7582c01', 'num': 0.44666611840690507}
{'str': '1964d1604ddd29465ef0', 'num': 0.7425192226105229}
{'str': 'f6b51c9eb831440ab2de', 'num': 0.07632992284950879}
{'str': '8a2d1c6a616e4d4e9f35', 'num': 0.6137813531542207}
{'str': '10459615f2e5e02ac739', 'num': 0.06091101358773332}
{'str': '847d0f6e5d239fce04f6', 'num': 0.16520858170376507}
{'str': '7edaef6cbc64af488e78', 'num': 0.9550370708529765}
{'str': 'de3520f53d635a9407b7', 'num': 0.781145524306181}
{'str': '84717f8f11c5926ead26', 'num': 0.5925264596793326}
{'str': '29e22aae03ed26b92479', 'num': 0.24263965746340244}
{'str': '424a69c30365e2550939', 'num': 0.16889926363885854}
{'str': '923260a897d177dfd818', 'num': 0.446295894761106}
{'str': 'c6bc401dfe2734662b1f', 'num': 0.5214029250570974}
{'str': '75fd0a3e2f041b0bf2f4', 'num': 0.7035663776702826}
{'str': '7f27d048b9dede810c7a', 'num': 0.1062635048430256}
{'str': 'ba155c69acc06f471c8c', 'num': 0.46576147336766993}
{'str': '310f2cae7255d3797ebb', 'num': 0.7992387182886794}
{'str': 'a3c46ba7aceb93a0813b', 'num': 0.5727824359862421}
{'str': 'c66d2b1c3a998bc3f63f', 'num': 0.9992327373924046}
{'str': 'eb0957a3324c7f2f2c68', 'num': 0.964726839219655}
{'str': 'f061853f1c3aa21f4564', 'num': 0.3080558543451355}
{'str': '0f5c92dc48e8c0f394aa', 'num': 0.04180703156409271}
{'str': '4c3c563694e5b109d2a5', 'num': 0.9127135443801832}
